name,matched_name,match_score,height,preferred_foot
Felix Bastians,felix bastians,100.0,188.0,left
Zlatan Bajramovic,,0.0,,
Ludovic Magnin,,0.0,,
Marcel Maltritz,,0.0,,
Paul Freier,,0.0,,
Christian Wetklo,christian wetklo,100.0,190.0,right
Christian Eigler,christian,90.0,182.0,left
Daniel Imhof,dani,90.0,183.0,right
Peer Kluge,peer kluge,100.0,,
Timo Hildebrand,timo hildebrand,100.0,,
Daniel Haas,dani,90.0,183.0,right
Levan Kobiashvili,levan kobiashvili,100.0,183.0,left
Tim Borowski,,0.0,,
Zsolt Low,,0.0,,
Pascal Bieler,biel,90.0,170.0,right
Tamas Hajnal,tama!s hajnal,96.0,167.0,both
David Alaba,david alaba,100.0,180.0,left
Sebastian Jung,sebastian jung,100.0,179.0,right
Peter Van der Heyden,,0.0,,
Marcus Berg,marcus berg,100.0,184.0,right
Sebastian Freis,sebastian freis,100.0,,
Tinga,dennis hettinga,90.0,187.0,right
Mensur Mujdza,mensur mujdza,100.0,185.0,right
Daniel Caligiuri,daniel caligiuri,100.0,182.0,right
Fabian Johnson,fabian johnson,100.0,183.0,right
Tony Jantschke,tony jantschke,100.0,177.0,right
Christoph Spycher,chris,90.0,,
Selim Teber,selim teber,100.0,187.0,right
Tommy Bechmann,tommy bechmann,100.0,,
Zlatko Dedic,,0.0,,
Peter Niemeyer,peter niemeyer,100.0,191.0,right
Sebastian Rudy,sebastian rudy,100.0,180.0,right
Diego Klimowicz,,0.0,,
Edson Braafheid,edson braafheid,100.0,176.0,left
Altin Lala,,0.0,,
Rob Friend,,0.0,,
Rene Adler,,0.0,,
Filip Trojan,,0.0,,
Aymen Abdennour,aymen abdennour,100.0,187.0,left
Chadli Amri,,0.0,,
Robert Tesche,robert tesche,100.0,182.0,right
Patrick Herrmann,patrick herrmann,100.0,179.0,right
Marc Stein,,0.0,,
Jonathan Jager,jonathan,90.0,170.0,right
Vasileios Pliatsikas,vasilios pliatsikas,97.43589743589743,177.0,both
Oliver Barth,,0.0,,
Anthar Yahia,anthar yahia,100.0,,
Boris Vukcevic,boris vukcevic,100.0,,
Dennis Grote,,0.0,,
Daniel Jensen,daniel jensen,100.0,,
Julian Schieber,julian schieber,100.0,186.0,left
